variety_name,crop,segment,plant_characteristics,fruit_characteristics,resistance_codes,cultivation_environment,description,variety_names.country,variety_names.commercial_name,variety_names.registration_status,image
,,,,,,,,Germany,ENKI F1,In Progress,
,,,,,,,,Greece,ENKI F1,In Progress,
,,,,,,,,Hungary,ENKI F1,In Progress,
,,,,,,,,Ireland,ENKI F1,In Progress,
,,,,,,,,Italy,ENKI F1,In Progress,
,,,,,,,,Latvia,ENKI F1,In Progress,
,,,,,,,,Lithuania,ENKI F1,In Progress,
,,,,,,,,Luxembourg,ENKI F1,In Progress,
,,,,,,,,Malta,ENKI F1,In Progress,
,,,,,,,,Netherlands,ENKI F1,In Progress,
,,,,,,,,Poland,ENKI F1,In Progress,
,,,,,,,,Portugal,ENKI F1,In Progress,
,,,,,,,,Romania,ENKI F1,In Progress,
,,,,,,,,Slovakia,ENKI F1,In Progress,
,,,,,,,,Sierra Leone,ENKI F1,In Progress,
,,,,,,,,Spain,ENKI F1,In Progress,
,,,,,,,,Sweden,ENKI F1,In Progress,
112-486,Tomato,,"Indeterminate oval tomato, very vigorous, mid-early.","Elongated oval, red color, firm, 130-140 g.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate oval tomato, very vigorous, mid-early.
Fruit: Elongated oval, red color, firm, 130-140 g.
Cultivation: Autumn and spring seasons in greenhouse.",Spain,GRANDOLY F1,In Progress,112-486.jpg
112-488,Tomato,,"Indeterminate oval tomato, strong plant, mid-early.","Oval-elongated, red color, firm, 160-180 g, productive.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV, Ss",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate oval tomato, strong plant, mid-early.
Fruit: Oval-elongated, red color, firm, 160-180 g, productive.
Cultivation: Autumn and spring seasons in greenhouse.",Yemen,SUAD F1,In Progress,112-488.jpg
,,,,,,,,China,ANOVEI F1,In Progress,
,,,,,,,,Argentina,AMILCAR F1,In Progress,
112-492,Tomato,,"Indeterminate saladette loose tomato, vigorous plant.","Oval shape, very good red color, verm firm, 140-150 gr.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV, Ss",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate saladette loose tomato, vigorous plant.
Fruit: Oval shape, very good red color, verm firm, 140-150 gr.
Cultivation: Autumn and spring seasons in greenhouse.",United Arab Emirates,SUPRIZ F1,In Progress,112-492.jpg
,,,,,,,,Albania,PERADUR F1,In Progress,
,,,,,,,,Latvia,PERADUR F1,In Progress,
,,,,,,,,Kosovo,PERADUR F1,In Progress,
,,,,,,,,Cyprus,SPR?Z F1,In Progress,
112-501,Tomato,,"Indeterminate Heirlom Tomato, very early, productive, short internodes.","Green to red color, flat , sliced, firm, 280-300 gr.","HR: ToMV, Vd, Va, Fol 0-1",Spring and autumn seasons in greenhouse.,"Plant: Indeterminate Heirlom Tomato, very early, productive, short internodes.
Fruit: Green to red color, flat , sliced, firm, 280-300 gr.
Cultivation: Spring and autumn seasons in greenhouse.",Australia,QUASIMODO F1,In Progress,112-501.jpg
,,,,,,,,Canada,QUASIMODO F1,In Progress,
,,,,,,,,Mexico,QUASIMODO F1,In Progress,
,,,,,,,,Mexico,FOBOS F1,In Progress,
,,,,,,,,United States,QUASIMODO F1,In Progress,
,,,,,,,,Panama,QUASIMODO F1,In Progress,
,,,,,,,,Netherlands,TG8879 F1,In Progress,
112-516,Tomato,,"Indeterminate round brown loose tomato, very early, vigorous plant, dark green leaves.","Brown color, round, firm, 150 ? 160 gr.","HR: ToMV, Va, Vd, Fol 0-1-2 / IR: TYLCV, TSWV, ToTV","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate round brown loose tomato, very early, vigorous plant, dark green leaves.
Fruit: Brown color, round, firm, 150 ? 160 gr.
Cultivation: Autumn, winter and spring seasons in greenhouse.",Azerbaijan,AQAT F1,In Progress,112-516.jpg
,,,,,,,,Cyprus,?KO  F1,In Progress,
,,,,,,,,Panama,ESPRESSO F1,In Progress,
,,,,,,,,Brazil,LICO F1,In Progress,
,,,,,,,,Canada,ESPRESSO F1,In Progress,
,,,,,,,,Australia,PANTHER F1,In Progress,
,,,,,,,,Poland,LEYENDA F1,Registered,
,,,,,,,,Mexico,ESPRESSO F1,In Progress,
,,,,,,,,United States,ESPRESSO F1,In Progress,
,,,,,,,,China,ISRA F1,In Progress,
,,,,,,,,Canada,LICO F1,In Progress,
,,,,,,,,South Korea,LEYENDA F1,In Progress,
,,,,,,,,Russian Federation,LEYENDA F1,In Progress,
112-567,Tomato,,"Indeterminate cluster cherry tomato, short internodes, dark green leaves, early.","Round, red color, 15-20 gr, good cluster shape,
non-cracking, productive.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, Ma, Mi, Mj, ToBRFV","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate cluster cherry tomato, short internodes, dark green leaves, early.
Fruit: Round, red color, 15-20 gr, good cluster shape,
non-cracking, productive.
Cultivation: Autumn, winter and spring seasons in greenhouse.",Algeria,BAHIA F1,In Progress,112-567.jpg
,,,,,,,,Brazil,KEDI F1,Registered,
,,,,,,,,India,FISHBONE F1,In Progress,
,,,,,,,,Iran,CELINE F1,Registered,
,,,,,,,,Spain,TOBFORTA F1,In Progress,
112-589,Tomato,,"Indeterminate cocktail tomato, early, very vigorous plant, short internodes.","Red color, firm, 10-14 fruits per cluster, 45-50 g, perfect taste and aroma, suitable both for cluster and single harvest,long shelf life.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate cocktail tomato, early, very vigorous plant, short internodes.
Fruit: Red color, firm, 10-14 fruits per cluster, 45-50 g, perfect taste and aroma, suitable both for cluster and single harvest,long shelf life.
Cultivation: Autumn, winter and spring seasons in greenhouse.",Mexico,MAI TAI,In Progress,112-589.jpg
,,,,,,,,Belarus,AROMA F1,In Progress,
,,,,,,,,Mexico,AROMA F1,In Progress,
,,,,,,,,Ukraine,AROMA F1,In Progress,
,,,,,,,,Panama,MAI TAI,In Progress,
,,,,,,,,Azerbaijan,?NC? F1,In Progress,
,,,,,,,,China,HARRIET F1,In Progress,
,,,,,,,,Iran,AROMA F1,In Progress,
,,,,,,,,Iran,112-589 F1,In Progress,
,,,,,,,,Poland,MIAMOUR F1,Registered,
,,,,,,,,Cyprus,AROMA F1,In Progress,
,,,,,,,,Austria,MIAMOUR F1,Registered,
,,,,,,,,Belgium,MIAMOUR F1,Registered,
,,,,,,,,Bulgaria,MIAMOUR F1,Registered,
,,,,,,,,Croatia,MIAMOUR F1,Registered,
,,,,,,,,Cyprus,MIAMOUR F1,Registered,
,,,,,,,,Czech Republic,MIAMOUR F1,Registered,
,,,,,,,,Denmark,MIAMOUR F1,Registered,
,,,,,,,,Estonia,MIAMOUR F1,Registered,
,,,,,,,,Finland,MIAMOUR F1,Registered,
,,,,,,,,France,MIAMOUR F1,Registered,
,,,,,,,,Germany,MIAMOUR F1,Registered,
,,,,,,,,Greece,MIAMOUR F1,Registered,
,,,,,,,,Hungary,MIAMOUR F1,Registered,
,,,,,,,,Ireland,MIAMOUR F1,Registered,
,,,,,,,,Italy,MIAMOUR F1,Registered,
,,,,,,,,Latvia,MIAMOUR F1,Registered,
,,,,,,,,Lithuania,MIAMOUR F1,Registered,
,,,,,,,,Luxembourg,MIAMOUR F1,Registered,
,,,,,,,,Malta,MIAMOUR F1,Registered,
,,,,,,,,Netherlands,MIAMOUR F1,Registered,
,,,,,,,,Poland,MIAMOUR F1,Registered,
,,,,,,,,Portugal,MIAMOUR F1,Registered,
,,,,,,,,Romania,MIAMOUR F1,Registered,
,,,,,,,,Slovakia,MIAMOUR F1,Registered,
,,,,,,,,Sierra Leone,MIAMOUR F1,Registered,
,,,,,,,,Spain,MIAMOUR F1,Registered,
,,,,,,,,Sweden,MIAMOUR F1,Registered,
,,,,,,,,Iran,SHERIL F1,In Progress,
,,,,,,,,Japan,MIAMOUR F1,In Progress,
,,,,,,,,United States,MIAMOUR F1,In Progress,
,,,,,,,,Albania,AROMA F1,In Progress,
,,,,,,,,Serbia,MIAMOUR F1,In Progress,
,,,,,,,,Kosovo,AROMA F1,In Progress,
,,,,,,,,Albania,AROMA F1,Registered,
,,,,,,,,Uzbekistan,FERMAN F1,In Progress,
,,,,,,,,Russian Federation,AROMA F1,Registered,
112-594,Tomato,,"Indeterminate Pink tomato,early, high productivity, short internodes.","Globe,  shinny pink color, firm, 250-300 gr, slightly ribbed.","HR: ToMV, Va, Vd, Fol 0-1 /IR: ToTV, Ss",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate Pink tomato,early, high productivity, short internodes.
Fruit: Globe,  shinny pink color, firm, 250-300 gr, slightly ribbed.
Cultivation: Autumn and spring seasons in greenhouse.",Albania,PINK ROCK F1,Registered,112-594.jpg
,,,,,,,,Bulgaria,PINK ROCK F1,Registered,
,,,,,,,,Greece,PINK ROCK  F1,In Progress,
,,,,,,,,Kosovo,PINK ROCK F1,Registered,
,,,,,,,,Poland,PINK ROCK F1,Registered,
,,,,,,,,Romania,PINK ROCK F1,Registered,
,,,,,,,,Croatia,PINK ROCK F1,Registered,
,,,,,,,,Netherlands,PINK ROCK F1,Registered,
,,,,,,,,Serbia,PINK ROCK F1,Registered,
,,,,,,,,Kazakhstan,ROZA F1,In Progress,
,,,,,,,,Russian Federation,PINK ROSE F1,Registered,
,,,,,,,,Bosnia and Herzegovina,PINK ROCK  F1,In Progress,
,,,,,,,,Belarus,PINK ROSE F1,In Progress,
,,,,,,,,Serbia,PINK ROCK  F1,In Progress,
