CROPS,CODE,PLANT,FRUIT,RESISTANCE,CULTIVATION
Tomato,112-334,"Indeterminate beef tomato, vigorous plant, mid-early.","Red color, flat, very firm, 250-270 g.","HR: ToMV, Vd,Va, Fol 0-1, For, Ff A-B /  IR:TYLCV, TSWV,Ma,
Mi, Mj",Autumn and spring seasons in greenhouse.
Tomato,112-486,"Indeterminate oval tomato, very vigorous, mid-early.","Elongated oval, red color, firm, 130-140 g.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV",Autumn and spring seasons in greenhouse.
Tomato,112-488,"Indeterminate oval tomato, strong plant, mid-early.","Oval-elongated, red color, firm, 160-180 g, productive.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV, Ss",Autumn and spring seasons in greenhouse.
Tomato,112-492,"Indeterminate saladette loose tomato, vigorous plant.","Oval shape, very good red color, verm firm, 140-150 gr.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV, Ss",Autumn and spring seasons in greenhouse.
Tomato,112-501,"Indeterminate Heirlom Tomato, very early, productive, short internodes.","Green to red color, flat , sliced, firm, 280-300 gr.","HR: ToMV, Vd, Va, Fol 0-1",Spring and autumn seasons in greenhouse.
Tomato,112-516,"Indeterminate round brown loose tomato, very early, vigorous plant, dark green leaves.","Brown color, round, firm, 150 ? 160 gr.","HR: ToMV, Va, Vd, Fol 0-1-2 / IR: TYLCV, TSWV, ToTV","Autumn, winter and spring seasons in greenhouse."
Tomato,112-567,"Indeterminate cluster cherry tomato, short internodes, dark green leaves, early.","Round, red color, 15-20 gr, good cluster shape,
non-cracking, productive.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, Ma, Mi, Mj, ToBRFV","Autumn, winter and spring seasons in greenhouse."
Tomato,112-589,"Indeterminate cocktail tomato, early, very vigorous plant, short internodes.","Red color, firm, 10-14 fruits per cluster, 45-50 g, perfect taste and aroma, suitable both for cluster and single harvest,long shelf life.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse."
Tomato,112-594,"Indeterminate Pink tomato,early, high productivity, short internodes.","Globe,  shinny pink color, firm, 250-300 gr, slightly ribbed.","HR: ToMV, Va, Vd, Fol 0-1 /IR: ToTV, Ss",Autumn and spring seasons in greenhouse.
Tomato,122-14,"Indeterminate tomato, vigorous plant, short internodes, dark green leaves color. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Red color, round, very firm, 100-120 gr, very productive.",,Autumn and winter seasons in greenhouse.
Tomato,122-320,"Indeterminate Cocktail tomato, early. HR: ToMV,Va,Vd,Fol 0-1 / IR:Ma, Mi, Mj, TYLCV","Red colour, oval shape, Crinkly, 35-40 gr.",,Autumn and spring seasons in greenhouse.
Tomato,122-895,"Determinate tomato, very vigorous , early, leaves cover well against sunburn.","Red color, slightly flat, very firm, 260-300 gr, good taste and aroma.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, Ma, Mi, Mj, ToTV",Open field.
Tomato,132-107,"Indeterminate Tomato, mid-internodes, vigorous plant, early. HR: ToMV,Va,Vd,Fol 0-1, For /
IR: TYLCV, TSWV, Ma, Mi,
Mj","Red color, slightly flat, firm, 230-250 gr.",,Autumn and spring seasons in greenhouse.
Tomato,132-111,"Indeterminate oval tomato, vigorous, early, short internodes, high production.","Red color, firm, 200-220 gr, long shelf life.","HR: ToMV, Va, Vd, Fol 0-1, For, Ff A-B / IR: TYLCV, TSWV, Ma,
Mi, Mj, Ss","Autumn, winter and spring seasons in greenhouse and open field."
Tomato,132-124,"Indeterminate Beef Tomato, mid-internodes, vigorous plant, mid-early. HR: ToMV, Va, Vd, Fol 0-1-2 / IR: TYLCV","Red color, flat and sliced, firm, 250-300 gr.",,Autumn and spring seasons in greenhouse.
Tomato,132-127,"Indeterminate Beef Tomato, vigorous plant, short internodes, mid-early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Red color, flat sliced fruit, firm, 330 - 350 gr.",,Spring season in greenhouse.
Tomato,132-146,"Indeterminate beef tomato, short internodes, vigorous, very high production","Red color, slightly flat, firm, 300-350 gr, long shelf life..","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, TSWV, Ma, Mi, Mj",Autumn and spring seasons in greenhouse.
Tomato,132-158,"Indeterminate Tomato, very productive, mid-early. HR: ToMV. Va,Ve, Fol 0-1 / IR: TYLCV, TSWV, N","Red color, flat fruit, sliced, firm, 270-290 g.",,Spring and autumn seasons in greenhouse.
Tomato,132-178,"Indeterminate red round loose tomato, short internodes, early.","Red color, globe shape, 250-300 gr.","HR: ToMV, Vd, Va, For, Fol
0-1-2, IR: TYCLV, TSWV, Ma,
Mi ,Mj",Autumn and spring seasons in greenhouse.
Tomato,132-179,"Indeterminate Tomato, short internodes, early. HR: ToMV, Vd, Va, Fol 0-1-2, For / IR: TYLCV,TSWV, Ma,
Mi, Mj","Red color, flat fruit, firm, productive, 230-250 gr.",,Autumn and spring seasons in greenhouse.
Tomato,132-198,"Indeterminate tomato, early. HR: ToMV, Vd, Va, Fol
0-1-2 / IR:TSWV, TYLCV,
Ma, Mi, Mj","Red fruit color, slightly flat, firm, 290-310 g.",,Suitable for autumn and spring seasons in greenhouse.
Tomato,132-203,"Indeterminate cluster tomato, short internodes, vigorous plant, high production.","6-7 fruits per cluster, red color, slightly flat, very firm, 140 gr, high quality.","HR: ToMV, Vd, Va, Fol 0-1, For
/ IR: TYLCV.",Hydroponic culture.
Tomato,132-216,"Indeterminate cluster tomato, very early, HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV","Round, very firm, red color, 6-8 fruits, 100 - 120 g,",,"Autumn,spring and winter seasons in greenhouse."
Tomato,132-227,"Indeterminate Cocktail Tomato, vigorous plant. HR: ToMV, Va,Vd, Fol 0-1 / IR: TYLCV","Deep red color, round, very firm, long shelf life, 60-80 gr.","IR: CYSDV, CMV, CVYV, Px,
Pcu",Autumn and spring seasons in greenhouse.
Tomato,132-238,"Indeterminate Oval Tomato, early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Red color, firm, 90-100 gr.",,Autumn and spring seasons in greenhouse.
Tomato,132-248,"Indeterminate Oval Tomato, vigorous plant, very early, mid-internodes. HR: ToMV, Va, Vd, Fol 0-1-2 / IR: TYLCV, TSWV","Red color, canilles type, firm, 100-110 gr.",,Autumn and spring seasons in greenhouse.
Tomato,132-283,"Indeterminate brown tomato, vigorous, short internodes, high production.","Slightly flat, brown color, slightly sliced, firm, high quality, 200-250 gr.","HR: ToMV, Va, Vd, Fol 0-1-2, Ff A-E / IR: TYLCV",Autumn and spring seasons in greenhouse.
Tomato,132-289,"Indeterminate tomato, vigorous, short internodes, very early, high production.","Flat and sliced, red flesh color, firm and high quality, 300 gr, suitable to green harvest, long shelf life.","HR: ToMV, Va, Vd, Fol 0, Ff A-E / IR: TYLCV","Autumn, winter and spring seasons in greenhouse."
Tomato,132-290,"Indeterminate Heirlom Tomato, early, productive, short internodes. HR: ToMV, Vd, Va, Fol 0-1/IR: TYLCV","Green to red color, flat , sliced, firm, 280-300 gr.",,Spring and autumn seasons in greenhouse.
Tomato,132-299,"Vigorous plant, big size leaves, short internodes, very early, tolerant to hot weather conditions.","Flat, sliced, 300 gr, red flesh color, firm, suitable to green harvest, good taste and aroma, long shelf life.","HR: ToMV, Va, Vd, Fol 0-1, Ff A-E / IR: TYLCV",Autumn and spring seasons in greenhouse and open field.
Tomato,132-303,"Indeterminate Oval Cocktail Tomato, vigorous plant, very early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Glossy red color, firm, very productive, 45-60 gr.",,Autumn and spring seasons in greenhouse.

Tomato,132-328,"Indeterminate cocktail tomato, vigorous, high production.","Deep red color, round, firm, 55-60 gr, high quality.","HR: ToMV, Va, Vd, Fol 0-1 / IR:TYLCV","Autumn, winter and spring seasons in greenhouse."
Tomato,132-344,"Indeterminate tomato, very vigorous plant, dark green leaves, mid-early.","5-6 fruits per cluster, slightly flat, dark red color, firm , 200 gr, high quality.","HR: ToMV, Vd, Va, Fol 0-1-2 / IR: TSWV, TYLCV, Ma, Mi, Mj",Autumnn and winter seasons in greenhouse.
Tomato,132-54,"Indeterminate Tomato, very vigorous plant, mid-early. HR: ToMV, Vd, Va, Fol 0-1 / IR: Ma, Mi, Mj, TYLCV, TSWV","Red color, flat, firm, very productive 200-220 gr.",,Autumn and spring seasons in greenhouse.
Tomato,132-79,"Indeterminate Tomato, strong plant, very productive, mid-early. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV, TSWV","Red color, flat fruit, firm, 280-300 g.",,Spring and autumn seasons in greenhouse.
Tomato,132-81,"Indeterminate tomato, vigorous plant, mid. early, HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV, N","Red color, very firm, flat, 220-240 g.",,Autumn and spring seasons in greenhouse.
Tomato,132-82,"Indeterminate Tomato, suitable for green harvest, vigorous plant, mid-early. HR: ToMV, Va,Vd, Fol 0-1, For / IR: TYLCV, TSWV, N","Dark green color, flat, very firm, 220-240 gr.",,Spring and autumn seasons in greenhouse.
Tomato,132-92,"Indeterminate Tomato, open plant, early. HR: ToMV, Va,Vd, Fol 0-1-2, For / IR: TYLCV, TSWV, N","Red color, globe shape, firm, 250-300 gr.",,Spring and autumn seasons in greenhouse.
Tomato,132-98,"Indeterminate Tomato, very vigorous plant, mid-early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV, N","Red color, slightly flat, firm, productive, 280-300 g.",,Autumn and spring seasons in greenhouse.
Tomato,142-215,"Indeterminate tomato, mid.early, short internodes, HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV, N,","Red color, flat, very firm, very productive, 350-400 g,",,Suitable for spring season in greenhouse.
Tomato,142-231,"Indeterminate Tomato, vigorous plant, short internodes, mid-early. HR: ToMV, Va, Vd, Fol 0-1, Cf-9
/ IR: TYLCV, TSWV ,Ma,
Mi, Mj","Red color, slightly flat, firm, 300-320 g.",,Autumn and spring seasons in greenhouse.
Tomato,142-234,"Indeterminate Tomato, very vigorous plant, short internodes, mid-early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, N","Red color, flat, very firm, 250-300 g.",,Autumn and winter seasons in greenhouse.
Tomato,142-235,"Indeterminate Tomato, vigorous plant, short internodes, mid-early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, Ma, Mi, Mj","Red color, slightly flat, firm, 350-400 g.",,Autumn and spring seasons in greenhouse.
Tomato,142-236,"Indeterminate Tomato, vigorous plant, mid-early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, TSWV,N","Red color, slightly fruit, very firm, 330-350 g.",,Autumn and spring seasons in greenhouse.
Tomato,142-246,"Indeterminate Beef Tomato, vigorous plant, short internodes, mid-early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV, TSWV","Red color, flat, firm, 250-300 g.",,Autumn and spring seasons in greenhouse.

Tomato,142-260,"Indeterminate Tomato, strong plant, short internodes, mid-early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, TSWV","Red color, flat, very firm, 350-370 g.",,Autumn and spring seasons in greenhouse.
Tomato,142-296,"Indeterminate pink tomato, short internodes, very vigorous, mid-early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Intensive pink color, slightly flat, very firm, high quality, 300-320 gr.",,Autumn and winter seasons in greenhouse.
Tomato,142-298,"Indeterminate loose tomato, early, very vigorous.","Intensive pink color, flat, slightly ribbed, very firm, 120-140 g, non-cracking.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, ToBRFV",Autumn and winter seasons in greenhouse.
Tomato,142-302,"Indeterminate Pink Tomato, very early. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV","Pink color, flat fruit, firm, 270-290 gr.",,Autumn and spring seasons in greenhouse.
Tomato,142-303,"Indeterminate Pink Tomato, short internodes, vigorous plant, early. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Pink color, slightly flat fruit, firm, 300-320 gr.",,Autumn and spring seasons in greenhouse.
Tomato,142-359,"Indeterminate cluster tomato, very vigorous plant, short internodes, early.","5-7 fruit per cluster, red color, slightly flat, 150 gr, firm and high quality, long shelf life .","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, TSWV",Hydroponic culture and greenhouse.
Tomato,142-396,"Indeterminate oval tomato, vigorous, mid-early, high production.","Oval, red color, very firm, 6-8 fruits per cluster, 100-120 gr, suitable for green harvest, high quality.","HR: ToMV, Vd, Va, Fol 0-1-2, For / IR: TYLCV, Ss","Autumn, winter and spring seasons in greenhouse."
Tomato,142-397,"Indeterminate Oval tomato, canille type, vigorous,
mid-early. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV","Oval, red color, very firm, 6-8 fruits per cluster, 110-120 g.",,"Autumn, winter and spring seasons in greenhouse."
Tomato,142-402,"Indeterminate oval tomato, early, vigorous, high production.","6-8 fruits per cluster, perfect red color, oval, firm, 140 gr, high quality.","HR: ToMV, Va, Vd, Fol 0-1-2 / IR: TYLCV, ToBRFV, Ss","Autumn, winter and spring seasons in greenhouse."
Tomato,142-424,"Indeterminate round brown loose tomato, vigorous plant, short internodes, dark green leaves, mid-early.","Dark brown color, slightly flat, firm, good taste and aroma, 170 gr, long shelf life.","HR: ToMV, Va, Vd, Fol 0-1-2 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse."
Tomato,142-436,"Indeterminate Brown Tomato, short internodes, mid. Early, HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, TSWV,","Dark brown fruit color, round, very firm, 150-170 g, productive,",,Suitable for spring and autumn seasons in greenhouse.
Tomato,142-459,"Indeterminate brown tomato, early, short internodes, high production.","Brown color, flat, very sliced, firm, 240-260 gr, high quality.","HR: ToMV, Va, Vd, Fol 0, For, Ff A-E / IR: TYLCV",Spring and autumn seasons in greenhouse.
Tomato,142-518,"Indeterminate Oval Cocktail tomato, short internodes, vigorous plant, very early. HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV","Oval-elongated, red color, firm, 30-35 g.",,"Autumn, winter and spring seasons in greenhouse."
Tomato,142-520,"Indeterminate cherry tomato, short internodes, vigorous, very early.","20-30 fruits per cluster, dark red color, oval, very firm,
15-20 gr, very good taste and aroma, long shelf life.","HR: ToMV, Fol 0 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse."

Tomato,142-528,"Indeterminate Oval Cherry Tomato, short internodes, early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV","Red color, long oval, firm, productive, 10-15 g.",,Autumn and spring seasons in greenhouse.
Tomato,142-536,"Indeterminate Oval Cherry Tomato, very early. HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, TSWV","Red color,pear shape, firm, 15-20 g.",,Autumn and spring seasons in greenhouse.
Tomato,142-550,"Indeterminate cocktail tomato, vigorous, short internodes, very early.","14-16 fruits per cluster, oval, orange color, firm, 20 gr, long shelf life.","HR: ToMV, Va, Vd, Fol 0-1, Ff A-B / IR: ToBRFV","Autumn, winter and spring seasons in greenhouse."
Tomato,145-211,"Determinate oval loose, compact, short internodes, mid-early, good heat tolerance, suitable for machinery harvest.","Bright red color, oval shape, firm, 120-130 gr.",HR: ToMV,Open field.
Tomato,150-170,"Determinate tomate , TYLCV, hot Seeting.",Saladette type.,,Open field.
Tomato,150-250,"Determinate tomate , TYLCV, hot Seeting.",Saladette type.,,Open field.
Tomato,150-834,"Determinate oval tomato, compact plant. HR: Ve, Fol 0-1, ToMV / IR: TYCLV, TSWV",120-140 gr.,,Open field.
Tomato,150-835,"Determinate oval tomato, compact plant.",120-140 gr.,"HR: Ve, Fol 0-1-2 / IR: TYCLV, TSWV, N",Open field.
Tomato,150-836,"Determinate oval tomato, compact plant. HR: Ve, Fol 0-1-2 / IR: TYCLV, TSWV, N",120-140 gr.,,Open field.
Tomato,150-837,"Determinate oval tomato, compact plant. HR: Ve, Fol 0-1-2, ToMV / IR: TYCLV, TSWV, N",120-140 gr.,,Open field.
Tomato,150-838,"Determinate round tomato, compact plant . HR: Ve, Fol 0-1, ToMV / IR: TSWV, N","Slightly flat fruit,200-220 gr.",,Open field.
Tomato,150-839,"Determinate round tomato, compact plant, good leaf cover, productive.","SRed color, slightly flat, 200-220 gr, firm.","HR: Ve, Fol 0-1, ToMV / IR: TSWV, Ma, Mi, Mj",Open field.
Tomato,150-840,"Determinate round tomato, compact plant. HR: Ve, Fol 0-1-2, ToMV / IR: TSWV, N","Slightly falt fruit, 200-220 gr.",,Open field.
Tomato,150-844,"Determinate oval tomato, compact plant. HR: Ve 1, Fol 0-1-2 / IR: TYCLV, TSWV,N,P","120-140 gr, oval, red color.",,Open field.

Tomato,150-845,"Determinate oval tomato, compact plant. HR: Ve 1, Fol 0-1-2 / IR: TYCLV, TSWV,N,P","120-140 gr, oval, red color.",,Open field.
Tomato,150-846,"Determinate oval tomato, compact plant, long shelf life. HR: Ve 1, Fol 0-1-2 / IR:TSWV, N, P","120-140 gr, oval, red color.",,Open field.
Tomato,150-848,"Determinate oval tomato, compact plant. HR: Ve 1, Fol 0-1-2, ToMV / IR: TYCLV, TSWV , N, P","120-140 gr, oval, red color.",,Open field.
Tomato,151-250,"Ind. Tomato, very vigorous plant, very early. HR: ToMV, Vd, Va, F0-1 / IR: TYLCV","180-200 gr, red color, round, firm.",,Autumn and winter season in greenhouse.
Tomato,151-426,"Indeterminate tomato, short internodes, open plant, early. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV, TSWV, Ma, Mi, Mj","Flat, red color, firm, 240-260 g.",,Autumn and spring seasons in greenhouse.
Tomato,151-429,"Indeterminate tomato, very vigorous plant.","Flat, red color, very firm, 230-250 g.","HR: ToMV, Vd, Va, Fol 0-1, For
/ IR: TYLCV, TSWV",Autumn and winter seasons in greenhouse.
Tomato,151-431,"Indeterminate tomato, vigorous plant, early.","Red color, firm, slightly flat, 230-250 g.","HR: ToMV, Vd, Va, Fol 0-1, For,Cf-5 / IR: TYLCV, TSWV,
Ma, Mi, Mj.",Autumn and spring seasons in greenhouse.
Tomato,151-434,"Indeterminate tomato, vigorous plant, early, short internodes. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV, TSWV, Ma, Mi, Mj","Flat, red color, very firm, 220-240 g.",,Autumn and spring seasons in greenhouse.
Tomato,151-447,"Indeterminate tomato, vigorous plant, mid-early. HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV, TSWV, Ma, Mi,
Mj.","Red color, firm, slightly flat, 280-300 g.",,Autumn and spring seasons in greenhouse.
Tomato,151-449,"Indeterminate tomato. HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV, TSWV, Ma, Mi, Mj","Flat, red color, firm, 260-280 g.",,Autumn and spring seasons in greenhouse.
Tomato,151-453,"Indeterminate Cocktail Tomato HR: ToMV, Vd, Va, Fol 0-1","Pink color, round, firm, 25-30 gr.",,Autumn and spring seasons in greenhouse.
Tomato,151-454,"Indeterminate Oval Cherry Tomato HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV","Pink color, firm, 15-25 gr.",,Autumn and spring seasons in greenhouse.
Tomato,152-198,"Indeterminate tomato, short internodes, very early, high production. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV, TSWV","6-8 fruits per cluster, dark red color, round, very firm, 90-100 gr, good taste and aroma, high quality, long shelf life.",,"Autumn, winter and spring seasons in greenhouse."
Tomato,152-214,"Indeterminate tomato, vigorous plant, short internodes, mid-early.","Slightly flat, red color, very firm, 220-240 g, productive.","HR: ToMV, Vd, Va, Fol 0-1, For, Ff A-B / IR: TYLCV, TSWV, Ma,
Mi, Mj",Autumn and spring seasons in greenhouse.

Tomato,152-218,"Indeterminate tomato. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV, TSWV","Flat, red color, very firm, 200-220 g.",,Autumn and spring seasons in greenhouse.
Tomato,152-222,"Indeterminate loose tomato, short intern","Red color, slightly flat, firm, 200-250 gr",,Spring season in greenhouse and open field
Tomato,152-260,"Indeterminate tomato, very vigorous plant. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV","Round, red color, very firm, 180-200 g.",,Autumn and winter seasons in greenhouse.
Tomato,152-265,"Indeterminate tomato, very vigorous plant, short internodes, early. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TSWV, TYLCV.","Semi flat, very firm, 220-240 g.",,Autumn and spring seasons in greenhouse.
Tomato,152-283,"Indeterminate tomato, vigorous plant,.","Red color, slightly flat, firm, 230-250 g.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV",Autumn and spring seasons in greenhouse.
Tomato,152-289,"Indeterminate tomato, vigorous plant, mid-early. HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV, Ma, Mi, Mj","Flat, slighlty sliced, red color, firm, 240-260 g.",,Autumn and winter seasons in greenhouse.
Tomato,152-308,"Indeterminate tomato, mid-early.","Red color, slightly flat, firm, 240-260g.","HR: ToMV, Vd, Va, Fol 0-1, For, Ff A-E / IR: TYLCV, TSWV",Autumn and winter seasons in greenhouse.
Tomato,152-316,"Indeterminate tomato, very vigorous plant. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV, TSWV","Flat, red color, very firm, 220-240 g.",,Autumn and Spring seasons in greenhouse.
Tomato,152-324,"Indeterminate loose tomato, short internodes, vigorous plant, very early and productive.","Slightly flat, dark red color, very firm, 200 - 220 gr, long shelf life.","HR: ToMV, Vd, Va, Fol 0-1, For, Ff A-E / IR: TYLCV, TSWV, Ss",Early autumn and spring seasons in greenhouse and open field.
Tomato,152-336,"Indeterminate tomato, short internodes, very early.","Slightly flat, dark red color, very firm, 180 gr, good red color under winter conditions, high quality, long shelf life.","HR: ToMV, Vd, Va, Fol 0-1, For, Ff A-E/ IR: TYLCV, TSWV, Ss",Early autumn and autumn seasons in greenhouse.
Tomato,152-339,"Indeterminate tomato, vigorous plant, short internodes, mid-early. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV.","Slightly flat, intensive red color, very firm, 240-260 g, productive.",,Autumn and winter seasons in greenhouse.
Tomato,152-350,"Indeterminate tomato, vigorous plant, short internodes, big size leaves.","4-6 fruits per cluster, round, red color, firm and high quality, 240 gr, long shelf life.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, TSWV, Ma, Mi, Mj",Spring season in greenhouse and open field.
Tomato,152-357,"Indeterminate loose tomato, productive.","Slightly flat, red color, firm, 240-260 gr.","HR: ToMV, Va, Vd, Fol 0-1 / IR: TYLCV, TSWV, Ma, Mi, Mj",Autumn and spring seasons in greenhouse.
Tomato,152-376,"Indeterminate tomato, vigorous plant. HR: ToMV, Vd, Va, Fol 0-1, For / IR: TYLCV, TSWV, Ma, Mi, Mj.","Red color, flat fruit, slightly sliced, firm, 340 - 360 g.",,Autumn and spring seasons in greenhouse.

Tomato,152-388,"Indeterminate tomato, very vigorous plant. HR: ToMV, Vd, Va, Fol 0-1, For,Cf-9 / IR: TYLCV, TSWV,N","Flat, dark red color, very firm, 270-290 g.",,Autumn and Spring seasons in greenhouse.
Tomato,152-401,"Indeterminate beef tomato, very vigorous plant, short internodes.","Flat, dark red color, very firm, 300 gr, long shelf life.","HR: ToMV, Vd, Va, Fol 0-1, For, Ff A-E / IR: TYLCV, TSWV",Autumn and Spring seasons in greenhouse.
Tomato,152-405,"Indeterminate tomato, strong plant, good leaves coverage, short internodes.","Red color, slightly flat, firm, 250-270 gr, very productive.","HR: ToMV, Va, Vd, Fol 0-1-2, For, Ff A-E / IR: TYLCV, TSWV",Spring season in greenhouse and open field.
Tomato,152-463,"Indeterminate Pink Tomato, short internodes, vigorous plant. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV","Pink color, slightly flat and sliced fruit, firm, 200-220 gr.",,Autumn and spring seasons in greenhouse.
Tomato,152-464,"Indeterminate Pink Tomato, short internodes, vigorous plant. HR: ToMV, Va, Vd, Fol 0-1, For / IR: TYLCV,N","Pink color, slightly flat and sliced fruit, firm, 220-240 gr.",,Autumn and spring seasons in greenhouse.
Tomato,152-490,"Indeterminate pink tomato, very vigorous, short internodes, early.","Flat fruit, ribbed, atractive pink color, firm, 300 gr, good taste.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, TSWV, ToTV, Ss","Autumn, winter and spring seasons in greenhouse."
Tomato,152-491,"Indeterminate oval pink tomato, strong plant.","Pink color, oval, firm, good fruit shape, good taste, 100 - 120 g.","HR: ToMV, Vd, Va, Fol 0-1, For
/ IR: TYLCV",Autumn and spring seasons in greenhouse.
Tomato,152-519,"Indeterminate loose red heirloom tomato, vigorous plant, short internodes, early.","Red color, ribbed, flat, very firm, big size, 400-450 gr.","HR: ToMV, Va, Vd, Fol 0-1, Ff A-E / IR: TYLCV",Autumn and spring seasons in greenhouse.
